epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
2,57718,0.007669,0.025372,0.093271,6.948660,0.000210,0.000885,0.069437,0.001789,0.024026,0.092201,6.925268,0.000197,0.000875,0.069231,0.001764
2,59709,0.007635,0.026038,0.094530,6.926978,0.000216,0.000898,0.069220,0.001806,0.024801,0.092796,6.788659,0.000204,0.000880,0.067866,0.001763
2,61699,0.007602,0.025712,0.093204,6.820449,0.000213,0.000885,0.068155,0.001780,0.026967,0.091759,6.723555,0.000225,0.000870,0.067216,0.001767
2,63689,0.007568,0.025520,0.093112,7.006435,0.000211,0.000885,0.070014,0.001796,0.025515,0.091306,6.646017,0.000211,0.000865,0.066439,0.001741
2,65679,0.007534,0.025364,0.092214,6.864935,0.000210,0.000875,0.068599,0.001770,0.024089,0.091796,6.691725,0.000198,0.000870,0.066894,0.001737
2,67670,0.007500,0.026486,0.095856,7.032740,0.000221,0.000911,0.070277,0.001835,0.025580,0.093822,6.774745,0.000212,0.000891,0.067725,0.001780
2,69660,0.007466,0.026801,0.096525,7.139644,0.000224,0.000919,0.071347,0.001856,0.024397,0.092806,6.788394,0.000201,0.000880,0.067865,0.001760
2,71650,0.007432,0.026059,0.093510,6.837056,0.000217,0.000888,0.068321,0.001788,0.025718,0.092097,6.752908,0.000213,0.000873,0.067507,0.001762
2,73640,0.007397,0.031794,0.105823,7.856845,0.000273,0.001011,0.078519,0.002069,0.039067,0.094647,7.280131,0.000344,0.000899,0.072777,0.001971
2,75631,0.007362,0.026035,0.094728,7.014609,0.000216,0.000900,0.070096,0.001818,0.028734,0.095388,6.825179,0.000242,0.000906,0.068228,0.001830
2,77621,0.007328,0.026182,0.094182,6.975323,0.000218,0.000895,0.069703,0.001810,0.029889,0.094581,7.261538,0.000253,0.000898,0.072592,0.001878
2,79611,0.007293,0.073605,0.174578,158.904690,0.000691,0.001716,1.588997,0.018297,0.082136,0.228243,13.398097,0.000773,0.002238,0.133971,0.004350
2,81602,0.007258,0.060661,0.186911,11.277219,0.000559,0.001822,0.112722,0.003508,0.056739,0.163886,10.538656,0.000520,0.001592,0.105366,0.003166
2,83592,0.007222,0.049234,0.151933,9.524516,0.000445,0.001472,0.095195,0.002869,0.046144,0.142975,8.845041,0.000415,0.001383,0.088431,0.002682
2,85582,0.007187,0.043193,0.133703,8.707269,0.000385,0.001289,0.087023,0.002545,0.041404,0.126592,8.255101,0.000367,0.001218,0.082530,0.002411
2,87572,0.007152,0.038182,0.119380,8.045919,0.000336,0.001146,0.080409,0.002286,0.036139,0.113578,7.578190,0.000316,0.001088,0.075764,0.002162
2,89563,0.007116,0.033446,0.109161,7.635321,0.000289,0.001044,0.076303,0.002096,0.036860,0.105613,7.265652,0.000322,0.001009,0.072633,0.002057
2,91553,0.007080,0.030832,0.102878,7.183568,0.000263,0.000981,0.071786,0.001963,0.028322,0.100559,7.027266,0.000239,0.000958,0.070250,0.001900
2,93543,0.007044,0.029789,0.100217,7.287059,0.000253,0.000955,0.072821,0.001936,0.027003,0.098275,7.573428,0.000226,0.000935,0.075715,0.001918
2,95533,0.007008,0.027173,0.097403,7.162637,0.000227,0.000927,0.071576,0.001870,0.030808,0.096071,7.061766,0.000263,0.000913,0.070597,0.001881
2,97524,0.006972,0.026475,0.095276,6.955575,0.000220,0.000906,0.069506,0.001821,0.027931,0.095008,6.902812,0.000235,0.000903,0.069006,0.001828
2,99514,0.006936,0.025808,0.094732,6.918548,0.000214,0.000900,0.069136,0.001805,0.024861,0.094788,6.849429,0.000205,0.000900,0.068472,0.001790
2,101504,0.006900,0.031558,0.108780,7.777803,0.000271,0.001041,0.077728,0.002090,0.026280,0.103690,7.258944,0.000219,0.000990,0.072566,0.001935
2,103495,0.006863,0.025785,0.099427,7.227613,0.000214,0.000947,0.072226,0.001883,0.026678,0.095989,6.869780,0.000222,0.000912,0.068677,0.001821
2,105485,0.006827,0.025199,0.095051,6.906606,0.000208,0.000903,0.069016,0.001801,0.025528,0.093918,6.770047,0.000211,0.000892,0.067682,0.001780
2,107475,0.006790,0.025383,0.093900,6.916964,0.000210,0.000892,0.069120,0.001793,0.026943,0.093532,6.820867,0.000225,0.000888,0.068186,0.001795
2,109465,0.006753,0.025160,0.093451,6.934473,0.000208,0.000888,0.069295,0.001788,0.025106,0.093478,6.918376,0.000207,0.000888,0.069161,0.001787
2,111456,0.006716,0.024799,0.092635,6.828174,0.000204,0.000879,0.068232,0.001765,0.024504,0.092093,6.777704,0.000202,0.000873,0.067756,0.001753
2,113446,0.006679,0.026578,0.096501,7.120575,0.000222,0.000918,0.071156,0.001851,0.027358,0.095565,6.976372,0.000229,0.000908,0.069742,0.001835
2,115436,0.006642,0.024629,0.093153,6.897891,0.000202,0.000884,0.068929,0.001776,0.025251,0.091960,6.707672,0.000209,0.000872,0.067054,0.001751
2,117426,0.006605,0.024623,0.092498,6.853597,0.000202,0.000878,0.068486,0.001765,0.023997,0.091343,6.679275,0.000197,0.000866,0.066769,0.001730
2,119417,0.006568,0.043992,0.133659,11.576975,0.000394,0.001289,0.115720,0.002841,0.033324,0.115785,7.761297,0.000288,0.001110,0.077592,0.002174
2,121407,0.006530,0.029311,0.105798,7.419942,0.000248,0.001011,0.074149,0.002000,0.026135,0.100818,7.119520,0.000217,0.000961,0.071170,0.001890
2,123397,0.006493,0.025900,0.096988,7.070064,0.000215,0.000923,0.070651,0.001844,0.025980,0.095361,6.909046,0.000215,0.000906,0.069070,0.001813
